# CSV-File created with merge-csv.com
# -----------------------------------------------------------

fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,02,ANDHRA PRADESH,0211,Y.S.R,1024708,384516.865000002,2,0,0,9,543,37616,2,0,76172,0,5229,0,7.69033730000004,1,2,181448,339606,0,243944,447938,37625,7.69033730000004,1,41,82.99,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0213,KURNOOL,839363,5442.5,1,0,0,6,483,46642,16,2,105961,0,7521,0,0.8708,10,16,256726,503601,0,340835,647918,46648,0.8708,8,41,21.1,0,0,NA
2025-2026,April,02,ANDHRA PRADESH,0216,KONASEEMA,454947,3588.4825,1,0,0,714,376,22828,4,0,113452,0,2238,0,0.1435393,4,4,146995,243823,0,233043,359322,23542,0.1435393,3,40,11.31,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,1408521,3037.9135978836,2,0,0,30,439,47290,189,2,44126,152,135830,0,5.7416567,70,106,189431,366852,0,214595,404442,47320,5.7416567,106,78,30.14,0.07,100,NA
2025-2026,April,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,165414,270.860779155578,4,37,0,5,39,5260,19919,1773,4258,68,468,0,53.9527585999995,4503,5418,30894,49249,0,36289,55810,5265,53.9527585999995,15066,57,13.13,86.83,100,NA
2025-2026,April,02,ANDHRA PRADESH,0206,KRISHNA,750506,272.494326991833,5,564,0,126,70,33337,205577,88150,119489,3177,5599,0,560.185662600001,34694,52765,174780,323281,0,220460,389938,33463,560.185662600001,115790,27,80.96,3.22,100,NA
2025-2026,April,02,ANDHRA PRADESH,0208,PRAKASAM,2033781,196.787364778933,4,99,0,45,592,42995,26734,6737,193110,478,21156,1.68178,54.2909141,5845,7768,364372,700263,0,451899,833643,43040,52.6091341,15783,35,6.35,3.34,100,NA
2025-2026,April,02,ANDHRA PRADESH,0209,NELLORE,748867,83.31702285299,4,135,0,70,630,51368,49534,11392,136293,1895,29249,0,41.2702541000001,10608,13159,267986,469070,0,358871,607388,51438,41.2702541000001,32265,41,44.33,16.45,100,NA
2025-2026,April,02,ANDHRA PRADESH,0224,TIRUPATI,633272,308.514212010217,4,243,0,89,324,37709,82996,31254,148910,4521,31673,0,256.0544554,19640,23523,215084,384519,0,274727,474608,37798,256.0544554,56963,46,38.34,59.66,100,NA
2025-2026,April,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,1408521,238.59424429578,4,560,0,82,200,47925,95368,16907,44174,33467,135915,0,227.5425589,19219,25785,189458,367084,0,214989,405297,48007,227.5425589,60616,77,54.93,34.04,100,NA
2025-2026,April,02,ANDHRA PRADESH,0205,WEST GODAVARI,283320,2790.51370967742,2,0,0,391,396,24359,186,134,61994,0,1778,0,5.1903555,84,88,131371,226674,0,184280,302981,24750,5.1903555,84,43,10.38,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0207,GUNTUR,397285,660368.86,1,0,0,26,244,16271,1,0,69316,0,5530,0,6.6036886,1,1,87880,154035,0,136272,228292,16297,6.6036886,1,49,85.08,0,100,NA
2025-2026,April,02,ANDHRA PRADESH,0208,PRAKASAM,2033781,183.139780439121,1,3,0,19,720,42296,501,188,193040,16,21162,0,0.917530299999998,261,314,364306,700092,0,451537,832910,42315,0.917530299999998,330,35,2.67,0.05,100,NA
2025-2026,April,02,ANDHRA PRADESH,0210,CHITTOOR,798152,671.690535117057,2,3,0,172,630,50163,598,323,109085,15,13393,0,4.0167094,270,346,206330,382598,0,274715,493341,50335,4.0167094,405,63,35.73,0.33,100,NA
2025-2026,April,02,ANDHRA PRADESH,0212,ANANTAPUR,1095336,7404.78806451613,2,0,0,0,529,48377,31,15,93339,0,17268,0,2.2954843,12,18,250260,471613,0,321589,597545,48377,2.2954843,20,51,71.87,0.03,100,NA
2025-2026,April,02,ANDHRA PRADESH,0216,KONASEEMA,454947,685.508923076923,2,2,0,865,368,22822,65,51,113451,0,2240,0,0.4455808,26,35,146996,243843,0,233289,359685,23687,0.4455808,26,40,11.64,0,100,NA
